Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800190765,02/21/2018 11:18:00 AM,20180169575,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & HIGHLAND,523A,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800191385,02/21/2018 02:53:00 PM,20180170120,A,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,0.0,LAKE CHATEAU DR & BELL RD,523B,H,23,36.161,-86.596,POINT (-86.596 36.161),37076,HERMITAGE
PD201800191733,02/21/2018 04:36:00 PM,20180170411,B,96,Business Check,15,COMMUNITY POLICING,4300.0,LEBANON PKE ,5F34,H,23,36.205,-86.612,POINT (-86.61200000000001 36.205),37076,HERMITAGE
PD201800193959,02/22/2018 06:21:00 AM,20180172503,C,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,5800.0,OLD HICKORY BLVD ,521A,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800192725,02/21/2018 09:48:00 PM,20180171286,B,93,Traffic Violation,9,SUBJECT WARNED,5700.0,OLD HICKORY BLVD ,5F33,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800193354,02/22/2018 01:49:00 AM,20180171896,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & BONNABROOK DR,5F13,H,21,36.192,-86.625,POINT (-86.625 36.192),37076,HERMITAGE
PD201800193685,02/22/2018 02:55:00 AM,20180172229,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & CENTRAL PKE,5F16,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800194184,02/22/2018 08:06:00 AM,20180172676,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,BONNACREEK DR & JACKSONIAN DR,523A,H,21,36.196,-86.628,POINT (-86.62799999999999 36.196),37076,HERMITAGE
PD201800194052,02/22/2018 07:19:00 AM,20180172554,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5F21,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800192938,02/21/2018 11:11:00 PM,20180171488,,71,Burglary - Non-Residence,6,ASSISTED OTHER UNIT,4400.0,LEBANON PKE ,533C,H,25,36.216,-86.602,POINT (-86.602 36.216),37076,HERMITAGE
PD201800193908,02/22/2018 05:50:00 AM,20180172436,C,96,Business Check,12,LOCATION/BUILDING SECURE,5700.0,OLD HICKORY BLVD ,523C,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800192776,02/21/2018 10:06:00 PM,20180171329,B,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OLD HICKORY BLVD ,5F17,H,21,36.167,-86.6,POINT (-86.59999999999999 36.167),37076,HERMITAGE
PD201800194060,02/22/2018 07:23:00 AM,20180172562,A,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OLD HICKORY BLVD ,5F24,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800192754,02/21/2018 10:00:00 PM,20180171312,B,93,Traffic Violation,9,SUBJECT WARNED,1500.0,HERMITAGE PARK DR ,5F36,H,23,36.166,-86.595,POINT (-86.595 36.166),37076,HERMITAGE
PD201800192965,02/21/2018 11:21:00 PM,20180171711,,43,Want Officer for Investigation / Assistance,9,SUBJECT WARNED,600.0,MARGARET ROBERTSON DR ,517C,H,23,36.179,-86.599,POINT (-86.59899999999999 36.179),37076,HERMITAGE
PD201800193875,02/22/2018 05:34:00 AM,20180172411,C,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,525C,H,21,36.187,-86.629,POINT (-86.62899999999999 36.187),37076,HERMITAGE
PD201800193956,02/22/2018 06:19:00 AM,20180172479,C,96,Business Check,12,LOCATION/BUILDING SECURE,5400.0,OLD HICKORY BLVD ,522C,H,21,36.184,-86.609,POINT (-86.60899999999999 36.184),37076,HERMITAGE
PD201800193436,02/22/2018 02:06:00 AM,20180171980,C,96,Business Check,12,LOCATION/BUILDING SECURE,5400.0,OLD HICKORY BLVD ,522C,H,21,36.183,-86.609,POINT (-86.60899999999999 36.183),37076,HERMITAGE
PD201800192758,02/21/2018 10:01:00 PM,20180172118,B,50,Theft,5,GONE ON ARRIVAL,5700.0,OLD HICKORY BLVD ,522C,H,23,36.174,-86.602,POINT (-86.602 36.174),37076,HERMITAGE
PD201800192785,02/21/2018 10:08:00 PM,20180171694,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4100.0,ANDREW JACKSON PKWY ,517C,H,23,36.19,-86.606,POINT (-86.60600000000001 36.19),37076,HERMITAGE
PD201800192818,02/21/2018 10:22:00 PM,20180172173,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,ANDREW JACKSON PKWY & LEBANON ,525C,H,25,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800192606,02/21/2018 09:06:00 PM,20180171171,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,4100.0,CENTRAL PKE ,525B,H,23,36.171,-86.597,POINT (-86.59700000000001 36.171),37076,HERMITAGE
PD201800192665,02/21/2018 09:27:00 PM,20180171272,B,44,Disorderly Person,4,ASSISTED CITIZEN,600.0,FRANKFORT DR ,524B,H,23,36.206,-86.594,POINT (-86.59399999999999 36.206),37076,HERMITAGE
PD201800192584,02/21/2018 08:57:00 PM,20180171180,B,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,EXIT 221A I40 E,521B,H,21,36.166,-86.612,POINT (-86.61200000000001 36.166),37076,HERMITAGE
PD201800193625,02/22/2018 02:31:00 AM,20180172171,C,96,Business Check,12,LOCATION/BUILDING SECURE,3500.0,CENTRAL PKE ,5F17,H,21,36.187,-86.629,POINT (-86.62899999999999 36.187),37076,HERMITAGE
PD201800193029,02/21/2018 11:48:00 PM,20180171569,,96,Business Check,15,COMMUNITY POLICING,4100.0,LEBANON PKE ,5F13,H,21,36.199,-86.619,POINT (-86.619 36.199),37076,HERMITAGE
PD201800193067,02/22/2018 12:00:00 AM,20180171617,C,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,6000.0,OLD HICKORY BLVD ,517C,H,23,36.164,-86.596,POINT (-86.596 36.164),37076,HERMITAGE
PD201800192851,02/21/2018 10:37:00 PM,20180171395,B,93,Traffic Violation,9,SUBJECT WARNED,4700.0,ANDREW JACKSON PKWY ,5F13,H,25,36.22,-86.597,POINT (-86.59700000000001 36.22),37076,HERMITAGE
PD201800193970,02/22/2018 06:28:00 AM,20180172486,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,515C,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800193210,02/22/2018 12:56:00 AM,20180171758,C,43,Want Officer for Investigation / Assistance,9,SUBJECT WARNED,600.0,MARGARET ROBERTSON DR ,517C,H,23,36.179,-86.599,POINT (-86.59899999999999 36.179),37076,HERMITAGE
PD201800193792,02/22/2018 04:51:00 AM,20180172332,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & OLD HICKORY BLVD,521C,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
